,Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
0,"@SenSchumer @InactionNever हर कोई नहीं चाहता कि हमारे स्कूल फिर से खुलें।
अभी नहीं।
फंड दूरस्थ शिक्षा, कृपया।
यह वायरस अभी तक संयुक्त राज्य अमेरिका के साथ नहीं किया गया है।

#घर पर रहें
#घर में रहना",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1282971632835805186
1,@dougducey #AZ को माता-पिता की जरूरत नहीं है हमें एक नेता की जरूरत है। #closerestaurants और #closecasinos अभी। वही चीजें करना बंद करें और अभिनय करें जैसे यह नया है। हम जल रहे हैं और तुम हमारे नीरो हो। #WearAMask #MaskitOrCasket #StayAtHome,stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1281625140929769472
2,#LongCovid असली है। आइए हम उन लोगों को न भूलें जो पीछे छूट गए हैं जो अभी भी पीड़ित हैं। कृपया सभी सावधान रहें क्योंकि लॉकडाउन धीरे-धीरे कम हो रहा है- अपनी आंत पर भरोसा रखें। अगर कुछ सही नहीं लगता है तो इसे न करें- अपना ख्याल रखें क्योंकि सरकार ऐसा नहीं करेगी।,stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1278612223070474240
3,"@forevergame6 बच्चे, शिक्षक, और हमारे अद्भुत पैराप्रोफेशनल सुरक्षा के लायक क्यों नहीं हैं? हम गिनी सूअर क्यों हैं?",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1288850010264805378
4,"@ahmhaitham @kudanai @AdleeDeadly केरल राज्य में, यदि आप मास्क नहीं पहनते हैं और घूमते हैं तो आप पर तुरंत जुर्माना लगाया जाएगा या 2 साल के लिए जेल जाना होगा। आप दूसरों की जान जोखिम में नहीं डाल सकते!
#COVID-19",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1282581730163961856
5,@PTI_News सावधानी बरतें। #सुरक्षित रहें,stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1284826477460983809
6,"@prdcanadian @MaureenShaw @Alyssa_Milano बिल्कुल सही। लेकिन उनके ""नेतृत्व"" से इस कोरोना वायरस का प्रबंधन.... वाईएस मामलों और बड़े पैमाने पर फैलने के लिए # 1 है। सभी अमेरिकियों को चाहिए",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1243412545274179584
7,"ह्यूस्टन, कृपया मास्क लगाना, सामाजिक दूरी, और उचित स्वच्छता विधियों का अभ्यास करना याद रखें।",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1285091140010729472
8,हर किसी की ओर से @BottishamPri हम अद्भुत एनएचएस कर्मचारियों और प्रमुख कार्यकर्ताओं को एक बहुत बड़ा धन्यवाद कहना चाहते हैं जो COVID-19 के खिलाफ अग्रिम पंक्ति में हैं: ताली बजाना_हैंड्स_लाइट_स्किन_टोन: _स्वर ::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone स्किन_टोन::क्लैपिंग_हैंड्स_लाइट_स्किन_टोन::क्लैपिंग_हैंड्स_लाइट_स्किन_टोन::क्लैपिंग_हैंड्स_लाइट_स्किन_टोन::क्लैपिंग_हैंड्स_लाइट_स्किन_टोन:#क्लैपिंग_हैंड्स_लाइट_स्किन_टोन:#clapforourcarers #clapforNHS #ClapForCarers #ThankYouNHS,stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1243423529149710336
9,"बस एक सवाल...
क्या हम अभी भी सब्जियां धो रहे हैं जैसे अप्रैल..मई.....!!
क्या हम अभी भी घर में हैं..!!
क्या हम अभी भी सब कुछ ठीक से सेनिटाइज कर रहे हैं..!!",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1290720515938586625
