,Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
0,"@donwinslow स्कूलों को सुरक्षित रूप से खोलने के लिए कोई संघीय सरकार की तैयारी की कोई योजना नहीं है ""चलो विज्ञान को रास्ते में न आने दें"": बह गया:",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283915184998887424
1,अगर वेंडरबिल्ट यूनिवर्सिटी और विलियमसन कंपनी स्कूल बंद हो गए हैं तो क्या #कोरोनावायरस के व्यापक होने और हमारे अस्पतालों पर भारी पड़ने से पहले और अधिक स्कूलों को बंद करने पर विचार करना जिम्मेदार नहीं होगा? @TNDeptofHealth,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1237503642363662336
2,"सरकार को राष्ट्रव्यापी स्कूलों के शिक्षकों और छात्रों के लिए एक निर्णय लेना चाहिए अन्यथा उन पर पहले से ही बहुत अधिक दबाव है, कई बच्चे इतने उदास हैं कि वे इस परिदृश्य के कारण आत्महत्या का विकल्प चुन रहे हैं। सरकार को कुछ करना चाहिए जब तक इतनी देर न हो जाए",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1287376165225656320
3,@realDonaldTrump @SenCoryGardner @SteveDaines अगर आप स्कूलों को फिर से खोलने के लिए मजबूर करते रहेंगे तो हमारे बच्चे और पोते नहीं होंगे। #TrumpIsKillingUs,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1286069792458317824
4,संसद के स्कूलों आदि सहित हमारी सभी सार्वजनिक सेवाओं के लिए समाधान मौजूद हैं जहां वे दूर से मिलने और सिखाने के लिए वीडियो कॉन्फ्रेंसिंग समाधानों का उपयोग कर सकते हैं। यह एक कम लागत वाला लेकिन प्रभावी समाधान होगा। #रिमोटवर्किंग #COVID19,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1238600133891092480
5,स्कूलों को बंद करो और शिक्षकों को भुगतान करो क्योंकि माता-पिता स्कूल की फीस देते हैं,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1283319653582999553
6,"इसलिए प्रशासन को उदाहरण के द्वारा नेतृत्व करना चाहिए, @realDonaldTrump @FLOTUS @IvankaTrump @DonaldJTrumpJr @KellyannePolls बच्चों को ईंट और मोर्टार स्कूलों में वापस जाने के लिए सबसे पहले जाना चाहिए। जब हम आपको जनादेश का पालन करते हुए देखेंगे तब हम बात करेंगे।",school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1286352377919025154
7,"ट्रम्प स्कूलों को बिना किसी योजना के खोलने पर जोर दे रहे हैं क्योंकि कुछ और उन्हें गलत बनाता है और उन्हें कुछ जिम्मेदारी लेनी होगी। वह इतना आत्ममुग्ध है कि वह अपने को सही साबित करने के लिए बच्चों की जान जोखिम में डाल सकता है, भले ही सामान्य ज्ञान और विज्ञान स्पष्ट रूप से आपको अन्यथा बताएं",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283863582543876098
8,"@Laurie_Garrett @CDCgov @WhiteHouse आप जिस स्पष्टता और साहस के साथ बोलते हैं, उसके लिए बहुत आभारी हूं। व्हाइट हाउस के दबाव के सामने सीडीसी का समर्पण डराने वाला है। स्कूलों को फिर से खोलने के लिए इस ""धक्का"" को चलाने वाला लालच और अक्षमता भयानक है। मुझे उम्मीद है कि भगवान लोग आपकी बात सुनेंगे।",school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1287007617710198784
9,"मेरे दादा नहीं! हमने कम संख्या वाले स्कूलों को बंद कर दिया! उन्हें खोलने से छात्रों, शिक्षकों, कर्मचारियों, प्रशासन के स्वास्थ्य/जीवन का बलिदान करने के अलावा कुछ भी कैसे हो सकता है?",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283803092996231173
