,text,target,label
0,policy over politics & people over profits would he great mottos for his campaign . bernie,bernie sanders,1
1,"bernie knows ? bernie knows it is bullshit , but he has to give democrats something . besides , if i can see the usefulness in russian meme attacks to change our voting & amp educational systems i am sure he does too . paper ballots free education",bernie sanders,1
2,"well , a sad day for all my communist friends . i guess they are going to have to move to cuba or wait another for 8 years bernie sanders feel the burn ! ! !",bernie sanders,0
3,"back in 1995 , sen sanders used his time to call out to represent . duke cunningham bigotry on the floor of the house , demanding that he apologize for referring to gay soldiers as homos . on the right side of history before it was cool , time after time . lgbt q",bernie sanders,1
4,"anyone else not comforted by promises to get tested for coronavirus ? they reply trying to sell being treated as a cure , which they reply at least too years from . whitehouse briefing coronavirus pandemic c ovid 19 us c ovid 19 saturday thoughts bernie",bernie sanders,0
5,"berniesanders rt people for bernie ahead of the national organize with bernie day of over 4500 local parties , we reply leaking the bernie field plan . our movement gets stronger by meeting people locally and having conversations . get started today",bernie sanders,1
6,returning from four days in new hampshire with my son and see that my daughter has been texting for bernie . its a family affair for us . bernie for nh bernie sanders,bernie sanders,1
7,i can legally change my address to mi & just did so i can volunteer & vote for bernie sanders in mi .,bernie sanders,1
8,he is a democratic socialist and we love him for it ! democratic debate centrists are gop lite bernie,bernie sanders,1
9,"props to julin i am surprised he is going , and bernie always does what is right .",bernie sanders,1
10,the world needs to know what the fuck happened . it is lunacy how we got this monster as president . bernie,bernie sanders,1
11,thats what Instant Message saying . hes already thrown out such absurd numbers and it would be so easy to add reparations to his agenda at this point . real head scratch why he hasnt honestly bernie sanders a dos,bernie sanders,0
12,3 / i got so many notifications i decided to create a thread where people could opt in and i would add them to a new iteration of the bernie love fest each saturday . it was great but we didnt have as many spin off convos as we had on the original bl f,bernie sanders,1
13,"love my grandpa bernie . i voted once for you , and ill vote for you again . my vote is for bernie bernie sanders",bernie sanders,1
14,"here in virginia , two of my friends , who were supporting pete , just informed me they will be voting for bernie sanders in the va primary ! ! super tuesday",bernie sanders,1
15,"after last night is dem debate and listening to bernie sanders speaking so much truth , this song came to my mind .",bernie sanders,1
16,should t you be at a country fair somewhere or opening up a denny is ? who are you again bernie sanders,bernie sanders,0
17,"today i voted for everyone to have access to healthcare , for students to not be crushed by student debt , for protecting the environment , for those that can t fight for themselves . i voted for bernie sanders . bernie sanders",bernie sanders,1
18,we can win those 1 Stop That three states if we keep up the heat ! ! ! ! feel the bern have you donated yet bernie,bernie sanders,1
19,"medicare for all people now ! follow me if you agree ! i follow back , of course . medicare for all m for all bernie",bernie sanders,1
20,"i have done my research . medicare for all only works because everyone pays into one system . the healthy working people cover the sick , and the poor . it saves the american people over $ too trillion dollars , and provides better coverage than any private insurance . bernie sanders",bernie sanders,1
21,Instant Message college educated with a masters degree and whole heartedly support bernie sanders i think the most politically informed people follow bernie sanders since there is a bernie blackout on main stream media theyre do their own research to find he is fighting for,bernie sanders,1
22,"er . . . are you saying that warren has a better chance ? the reality is that , in order to effect political change , you have to apply political pressuresomething that warren is not promoting . thats why Instant Message with bernie sanders",bernie sanders,1
23,"i do not think that he is owed things beyond our respect and solidarity . i do , however , think that he is by far the best candidate on offer , with the most clarity on the most issues , and that he is a very decent person . bernie",bernie sanders,1
24,"todays the day , you all ! resharing the voters guide for anyone who needs it . polling places are open , mine was super empty go vote ! ! ! bernie sanders",bernie sanders,1
25,bernie rallies really are the most diverse political events i have ever been to,bernie sanders,1
26,bernie presidential biographer ron chernow says comedians are needed more than ever at whcd,bernie sanders,0
27,"45 and still feeling the bern . . . . . . since his impassioned speech in 10 / 2002 on the house floor pleading with his bought , corporation colleagues not to invade iraq . bernie sanders",bernie sanders,1
28,"but isn t a heavy believer in governmental regulation so what is a possibility with yang is ubi ? salary decreases , rent raised , and benefits slashed because the people in charge are taking into account that you reply opting into this program . bernie",bernie sanders,1
29,"you support e warren & amp ironically her numbers went down after her cynical , divisive attacks against bernie sanders . yet hasnt been taking the bait & amp i still see many of his supporters continue to hold out hope that she will come around .",bernie sanders,1
30,"i really wish and think that all town halls & debates should be broadcast on public airwaves . this is for the presidency of this country , everybody deserves to hear what candidates have to say . someone should t be shut out because they can t afford cable . bernie sanders",bernie sanders,1
31,"it would be good to have tulsi 2020 on the debate stage . she calls out the microphone & amp if you donated a dollar it would help to get her on the stage . the more progressive voices there , the better . not me us she stood with bernie in 2016 & amp the establishment hates her for it .",bernie sanders,1
32,the vitriol that was thrown at bernie by the dnc establishment was ridiculous . now theyre begging for our votes . bernie un suspend,bernie sanders,1
