,text,target,label
0,you coward . . . you should have been at the white house correspondence dinner honoring the first amendment ! first amendment trump,donald trump,0
1,"cool . i trust he requested the same records for denial of normal jr , ivanka , eric and jarrod ? trump",donald trump,0
2,off your meds again donnie ? you are surrounded by criminals of all sorts ! we love california and our gov so f off ! thug president klepto c racy mueller is coming trump,donald trump,0
3,that has to happen anyway . but his profits will be forfeit when he is convicted of treason with the rest of the trump,donald trump,0
4,this is so stupid . unmasking lets them know who it is . if trumps kids were unmasked they were talking to people under investigation who they should t have been talking to . the wow is the trump family was working with the russians . trump now trump is killing americans,donald trump,0
5,"its importantto remember that the gop has tolerated , enabled , & amp even supported all that real donald trump has done to destroy our alliances , our democratic institutions , and the rule of law . put in owns trump",donald trump,0
6,really good take . of course ivanka isnt coming to save you . she could even save herself . ivan ka trump trump,donald trump,0
7,"its true , what other first lady have you heard called a gorilla , and ape or just plain ugly ? poor melania . i cannot imagine being her . bullshit chee to jesus trump",donald trump,0
8,"his entire life , his dads , his kids , all of it is one giant web of crimes . sd ny trump oval office & get prison expressway !",donald trump,0
9,seems to me that cohen should be protected so he may sing to help americans take back our united states of america ! lock them up resign trump knew trump,donald trump,0
10,"whatever . meanwhile , cohen is getting the attention you seek . i think the trump family will be getting an invitation to see some democrats .",donald trump,0
11,limited further commentary required . simply trump grifters going to gift twitter celebrates as the trump family is forced to deal with a pyramid scheme lawsuit,donald trump,0
12,the democrats new majority is going to be so satisfying to watch . cheers just a taste of what to expect . accountability is coming . trump,donald trump,0
13,"year old be fair , if my life was so pathetic as to be involved with trump id kill myself too !",donald trump,0
14,trump is literally pushing the you . is . into a dark corner out of world influence . we are becoming 3 rd world nation . healthcare only for the rich economies only for the rich government only for the rich and poor literally no wealth republicans cheer him on .,donald trump,0
15,"now that trump foundation has been forced to cease and desist , trump perhaps has found another way to build the trump slush fund .",donald trump,0
16,"again liar in chief you lie . gt conway 3 d said no to you & amp your job . also did you know that you are often referred as president predator & amp trump & amp trumpet a pen dejo & amp that we all know you are envious of president obama because of his success , class & amp intelligence ?",donald trump,0
17,i challenge you mueller has enough evidence to send real donald trump to jail lock him up lock them all up,donald trump,0
18,"evil , corrupt trump trumps words and tweets do not age well like him ! too bad you just cant call the plastic surgeon to cover them up with botox like the whole trump does ! i cant breath",donald trump,0
19,"youre right . however , spreading false information helped sway uneducated voters . the only way trump can win , is by cheating .",donald trump,0
20,"no president under criminal investigation should be allowed anywhere near a supreme court pick . you and crooked mcconnell stole the last one from the last real president , president obama , so go get fitted for your orange jumpsuit , crooked trump . lock him up trump",donald trump,0
21,"what is this ? take your pampered , overindulged , privileged child to work day ? trump",donald trump,0
