,Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
0,लोग कह रहे हैं कि स्कूल बंद होने से बच्चों के पास सुरक्षित ठिकाना नहीं रहेगा। बड़ी सभाएँ कोरोनावायरस से सुरक्षित नहीं हैं। कोरोनावायरस सुरक्षित नहीं है।,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237584693349847040
1,यदि आप बेसबॉल के पहले सप्ताह तक नहीं पहुंच सकते हैं तो आप स्कूल कैसे खोल सकते हैं?,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1287775308410769408
2,"@CDCDirector रॉबर्ट रेडफील्ड के इस्तीफा देने का समय आ गया है। वह अपने ही पोते-पोतियों की जान कुर्बान करने को तैयार है। उन्होंने @GMA पर बस इतना ही कहा
#स्कूल फिर से खुल रहा है",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1285911248249524226
3,पियरलैंड आईएसडी का दावा है कि स्कूल बच्चों के लिए सुरक्षित हैं लेकिन सुपरिंटेंडेंट जॉन केली घर से काम कर रहे हैं: क्रोध:,school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1283861872425476097
4,"@thehill @FLOTUS सू... स्कूल खोलें ताकि बच्चे कीटाणुओं के बारे में पागल हो सकें और संभावित आजीवन हानिकारक प्रभावों के साथ कोरोनोवायरस को जोखिम में डाल सकें और बड़े परिवार को बीमार होने का जोखिम उठा सकें, ताकि वे बच्चे के स्नातक होने से पहले मर सकें? क्या यह ऐसे ही कार्य करता है?",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1281284929091846144
5,"स्कूल एक इंच बर्फ के लिए बंद हो जाते हैं या जब फ्लू का मौसम घर पर बहुत सारे छात्रों को बीमार कर देता है, लेकिन वे तब तक खुले रहना चाहते हैं जब तक कि इमारत में एक पुष्टिकृत COVID-19 मामला सामने नहीं आता? ऐसा लगता है कि स्कूलों को शिक्षित करने की जरूरत है। :face_with_rolling_eyes:: क्रोध:",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237480674375929857
6,@MmusiMaimane पर अपमान किया गया और असुरक्षित परिस्थितियों में स्कूलों को फिर से नहीं खोलने के आह्वान का समर्थन करने के लिए हमें साइबर धमकी दी गई। तुम सब एक भ्रमित गुच्छा हो। ईमानदारी से।,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283343813227020290
7,"@AprilDRyan ट्रम्प ने कहा कि उन्हें अपने किसी भी बच्चे को अमेरिकी प्राथमिक विद्यालय में जाने देने में कोई समस्या नहीं होगी, हालांकि एरिक को क्लासवर्क में मदद की आवश्यकता हो सकती है। #स्कूल #स्कूल फिर से खुल रहे हैं",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1286148950609797120
8,"हमारे तीन बच्चे वैक्सीन आने तक फिजिकल स्कूल नहीं लौट रहे हैं। हमेशा की तरह व्यापार करने की कोशिश करने के बजाय दुनिया को समायोजित करने की जरूरत है। हम विज्ञान का पालन कर रहे हैं, एजेंडा नहीं।
#ट्रंप वायरस",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283835405285171201
9,यह एक सच्ची उपहास है कि हम महामारी के दौरान सटीक जानकारी के लिए अपनी सरकार पर भरोसा नहीं कर सकते। लोग शिक्षित निर्णय कैसे लेते हैं? ट्रम्प और भी अधिक क्रोधित माता और पिता पैदा कर रहे हैं #notmykid #BlueWave #HeroesAct #COVID19 #TrumpFailedAmerica,school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1283820724860461056
