,Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
0,"स्कूलों में युवा मर रहे हैं, कृपया उन दरवाजों को बंद कर दें।",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283372061688299522
1,"@RepRalphNorman @grahamblog @SenatorTimScott @scsenategop #coronavirus #southcarolina
स्कूलों को बंद करो!",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237628142203867136
2,यदि कोई सोच रहा है कि मेरे बच्चे पतझड़ में पब्लिक स्कूलों में नहीं जाएँगे। #COVID19 #स्कूल हिंसा #यौन उत्पीड़न #सिस्टमिकजातिवाद #धमकाना #TeachersLivesMatter #SocialInjustice को और कारणों की आवश्यकता है? #वापस स्कूल,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284279205388328960
3,"जैसे अगर हमें यह मिल गया तो हम क्या करने जा रहे हैं, क्या कोरोनावायरस का कोई इलाज है? नहीं। स्कूल रद्द करो। हम नहीं चाहते कि और बच्चे बीमार हों। @ScottMorrisonMP #Coronavid19 #coronavirus #coronavirusaustralia #Covid_19australia",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1241733782249435136
4,"@AprilDRyan मेरे बेटे को अस्थमा है और मुझे कई ऑटोइम्यून समस्याएं हैं इसलिए हमने तय किया कि ऑनलाइन जाने का रास्ता है। कुछ हफ़्ते बाद @CobbSchools इस बात पर सहमत हुए कि सभी को ऑनलाइन भाग लेना चाहिए। मैं इसके लिए उनकी सराहना करता हूं। यह आसान नहीं होगा लेकिन यह जरूरी है!
#स्कूल",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1286720512022937602
5,"ट्रम्प पब्लिकन सोचते हैं कि बलात्कार करना, पिंजरे में बंद करना, भूखा मारना, बन्दूक से मारना या हमारे बच्चों को एक घातक महामारी में उजागर करना ठीक है लेकिन गर्भपात के बारे में अपनी बकवास खो देते हैं।",school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1282695829644607490
6,"@ redfreedom2020 @donwinslow ने 30 साल पढ़ाया। मैं आपको बता सकता हूं कि स्कूल कीटाणुओं के लिए पेट्री डिश हैं। बच्चे वयस्कों की तरह स्वच्छता मानकों का पालन/समझ नहीं करते हैं, और वे लगातार एक-दूसरे को छूते हैं। आम तौर पर हमारे शरीर इससे लड़ते हैं। कोविड के साथ नहीं।",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284113522985783303
7,हम अपने सम्मानित प्रधान मंत्री @ImranKhanPTI और हमारे शिक्षा मंत्री @Shafqat_Mahmood से ईद के बाद स्कूल खोलने की घोषणा करने का अनुरोध करते हैं।,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1284808700402819072
8,"मुझे कोरोनोवायरस की परवाह नहीं है, मैं बस इस बेवकूफ स्कूल लामाओ से बाहर निकलना चाहता हूं",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237544119452323841
9,ऑनलाइन क्लास कराने के लिए शिक्षकों ने काफी मशक्कत की। शिक्षक की बात सुनें और वर्तमान परिदृश्य में यह शिक्षा का एक अच्छा तरीका है। हम कैसे उम्मीद कर सकते हैं कि स्कूल उन्हें बिना किसी शुल्क के भुगतान करेंगे। #SaveOurSchools,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1287317651828613120
